From	To	Species	Gene Name
At1g67630	260192_at	Arabidopsis thaliana	DNA polymerase alpha 2(POLA2)
At2g27170	263569_at	Arabidopsis thaliana	Structural maintenance of chromosomes (SMC) family protein(TTN7)
At2g01350	265738_at	Arabidopsis thaliana	quinolinate phoshoribosyltransferase(QPT)
At5g40950	249331_at	Arabidopsis thaliana	ribosomal protein large subunit 27(RPL27)
At1g55040	256355_at	Arabidopsis thaliana	zinc finger (Ran-binding) family protein(AT1G55040)
At5g56270	248008_at	Arabidopsis thaliana	WRKY DNA-binding protein 2(WRKY2)
At2g20300	265308_at	Arabidopsis thaliana	Protein kinase superfamily protein(ALE2)
At2g26830	266861_at	Arabidopsis thaliana	Protein kinase superfamily protein(emb1187)
At1g74960	262176_at	Arabidopsis thaliana	fatty acid biosynthesis 1(FAB1)
At4g00220	255701_at	Arabidopsis thaliana	Lateral organ boundaries (LOB) domain family protein(JLO)
At3g26790	258258_at	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(FUS3)
At4g20740	254483_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR-like) superfamily protein(EMB3131)
At1g21390	260874_at	Arabidopsis thaliana	embryo defective 2170(emb2170)
At5g39750	249419_s_at	Arabidopsis thaliana	AGAMOUS-like 81(AGL81)
At4g23660	254230_at	Arabidopsis thaliana	polyprenyltransferase 1(PPT1)
At5g16750	246457_at	Arabidopsis thaliana	Transducin family protein / WD-40 repeat family protein(TOZ)
At4g03430	255382_at	Arabidopsis thaliana	pre-mRNA splicing factor-like protein(EMB2770)
At5g18820	249977_at	Arabidopsis thaliana	TCP-1/cpn60 chaperonin family protein(Cpn60alpha2)
At2g39080	266193_at	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(EMB2799)
At2g39080	266192_at	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(EMB2799)
At5g49160	248597_at	Arabidopsis thaliana	methyltransferase 1(MET1)
At5g02190	251025_at	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(PCS1)
At3g19810	257937_at	Arabidopsis thaliana	BTB/POZ domain protein, putative (DUF177)(AT3G19810)
At2g05170	263050_at	Arabidopsis thaliana	vacuolar protein sorting 11(VPS11)
At1g05600	263200_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB3101)
At2g17250	263415_at	Arabidopsis thaliana	CCAAT-binding factor(EMB2762)
At2g31060	266471_at	Arabidopsis thaliana	elongation factor family protein(EMB2785)
At4g23940	254181_at	Arabidopsis thaliana	FtsH extracellular protease family(FtsHi1)
At5g63290	247367_at	Arabidopsis thaliana	Radical SAM superfamily protein(AT5G63290)
At5g46280	248891_at	Arabidopsis thaliana	Minichromosome maintenance (MCM2/3/5) family protein(MCM3)
At1g55900	260596_at	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(TIM50)
At3g48750	252337_at	Arabidopsis thaliana	cell division control 2(CDC2)
At3g60830	251340_at	Arabidopsis thaliana	actin-related protein 7(ARP7)
At3g20070	257127_at	Arabidopsis thaliana	titan9(TTN9)
At5g04920	250831_at	Arabidopsis thaliana	EAP30/Vps36 family protein(AT5G04920)
At1g48850	245832_at	Arabidopsis thaliana	chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase(EMB1144)
At3g02280	259126_at	Arabidopsis thaliana	Flavodoxin family protein(AT3G02280)
At3g27670	258238_at	Arabidopsis thaliana	ARM repeat superfamily protein(RST1)
At1g02780	262117_at	Arabidopsis thaliana	Ribosomal protein L19e family protein(emb2386)
At5g19820	245941_at	Arabidopsis thaliana	ARM repeat superfamily protein(emb2734)
At5g11040	245900_at	Arabidopsis thaliana	TRS120(TRS120)
At5g56290	248010_at	Arabidopsis thaliana	peroxin 5(PEX5)
At5g04810	250856_at	Arabidopsis thaliana	pentatricopeptide (PPR) repeat-containing protein(AT5G04810)
At2g04530	263864_at	Arabidopsis thaliana	Metallo-hydrolase/oxidoreductase superfamily protein(CPZ)
At5g13780	250226_at	Arabidopsis thaliana	Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT5G13780)
At5g18700	260118_s_at	Arabidopsis thaliana	kinase family with ARM repeat domain-containing protein(AT5G18700)
At5g51430	248458_at	Arabidopsis thaliana	conserved oligomeric Golgi complex component-related / COG complex component-like protein(EYE)
At3g10670	258916_at	Arabidopsis thaliana	non-intrinsic ABC protein 7(NAP7)
At5g51020	248459_at	Arabidopsis thaliana	crumpled leaf(CRL)
At5g59340	247714_at	Arabidopsis thaliana	WUSCHEL related homeobox 2(WOX2)
At4g29660	253691_at	Arabidopsis thaliana	embryo defective 2752(EMB2752)
At5g40160	249404_at	Arabidopsis thaliana	Ankyrin repeat family protein(EMB506)
At4g20090	254498_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(EMB1025)
At1g08840	264801_at	Arabidopsis thaliana	DNA replication helicase(emb2411)
At1g20200	261227_at	Arabidopsis thaliana	PAM domain (PCI/PINT associated module) protein(EMB2719)
At5g66055	247079_at	Arabidopsis thaliana	ankyrin repeat protein(AKRP)
At1g67960	259993_at	Arabidopsis thaliana	POLLEN DEFECTIVE IN GUIDANCE-like protein(POD1)
At4g38430	252975_s_at	Arabidopsis thaliana	rho guanyl-nucleotide exchange factor 1(ROPGEF1)
At2g30200	267308_at	Arabidopsis thaliana	EMBRYO DEFECTIVE 3147(EMB3147)
At3g15190	256855_at	Arabidopsis thaliana	chloroplast 30S ribosomal protein S20(PRPS20)
At2g19450	267280_at	Arabidopsis thaliana	membrane bound O-acyl transferase (MBOAT) family protein(TAG1)
At1g06950	260815_at	Arabidopsis thaliana	translocon at the inner envelope membrane of chloroplasts 110(TIC110)
At2g44190	267232_at	Arabidopsis thaliana	ENDOSPERM DEFECTIVE protein (DUF566)(EDE1)
At2g43650	260585_at	Arabidopsis thaliana	Sas10/U3 ribonucleoprotein (Utp) family protein(EMB2777)
At5g62990	247410_at	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase family protein(emb1692)
At4g07410	255194_at	Arabidopsis thaliana	Transducin family protein / WD-40 repeat family protein(PCN)
At4g26300	254004_at	Arabidopsis thaliana	Arginyl-tRNA synthetase, class Ic(emb1027)
At3g24560	258136_at	Arabidopsis thaliana	Adenine nucleotide alpha hydrolases-like superfamily protein(RSY3)
At4g38440	252990_at	Arabidopsis thaliana	RPAP1-like, carboxy-terminal protein(IYO)
At3g08800	258669_at	Arabidopsis thaliana	ARM repeat superfamily protein(SIEL)
At1g23400	263014_at	Arabidopsis thaliana	RNA-binding CRS1 / YhbY (CRM) domain-containing protein(CAF2)
At4g12130	254854_at	Arabidopsis thaliana	Glycine cleavage T-protein family(AT4G12130)
At1g62360	260632_at	Arabidopsis thaliana	KNOX/ELK homeobox transcription factor(STM)
At4g19350	254576_at	Arabidopsis thaliana	embryo defective 3006(EMB3006)
At5g09900	250456_at	Arabidopsis thaliana	26S proteasome regulatory subunit, putative (RPN5)(EMB2107)
At2g01210	265789_at	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT2G01210)
At1g77360	246383_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(APPR6)
At1g70070	264748_at	Arabidopsis thaliana	DEAD/DEAH box helicase(EMB25)
At1g51450	260516_at	Arabidopsis thaliana	TRAUCO(TRO)
At1g80410	260282_at	Arabidopsis thaliana	tetratricopeptide repeat (TPR)-containing protein(EMB2753)
At1g10510	263212_at	Arabidopsis thaliana	RNI-like superfamily protein(emb2004)
At1g32490	260695_at	Arabidopsis thaliana	RNA helicase family protein(ESP3)
At4g24270	254147_at	Arabidopsis thaliana	EMBRYO DEFECTIVE 140(EMB140)
At3g27750	258232_at	Arabidopsis thaliana	PPR containing protein(EMB3123)
At5g08130	250569_at	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(BIM1)
At3g20440	257667_at	Arabidopsis thaliana	Alpha amylase family protein(EMB2729)
At3g10220	259141_at	Arabidopsis thaliana	tubulin folding cofactor B(EMB2804)
At1g08510	261722_at	Arabidopsis thaliana	fatty acyl-ACP thioesterases B(FATB)
At2g26060	266847_at	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(emb1345)
At1g20960	262800_at	Arabidopsis thaliana	U5 small nuclear ribonucleoprotein helicase(emb1507)
At1g73590	259845_at	Arabidopsis thaliana	Auxin efflux carrier family protein(PIN1)
At5g08170	250570_at	Arabidopsis thaliana	porphyromonas-type peptidyl-arginine deiminase family protein(EMB1873)
At5g55940	248041_at	Arabidopsis thaliana	Uncharacterized protein family (UPF0172)(emb2731)
At5g13690	250245_at	Arabidopsis thaliana	alpha-N-acetylglucosaminidase family / NAGLU family(CYL1)
At4g26500	253972_at	Arabidopsis thaliana	chloroplast sulfur E(CPSUFE)
At5g50960	248462_at	Arabidopsis thaliana	nucleotide binding protein 35(NBP35)
At5g67570	247004_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(DG1)
At1g08130	261810_at	Arabidopsis thaliana	DNA ligase 1(LIG1)
At2g27100	266315_at	Arabidopsis thaliana	C2H2 zinc-finger protein SERRATE (SE)(SE)
At2g33800	267435_at	Arabidopsis thaliana	Ribosomal protein S5 family protein(EMB3113)
At1g55325	259647_at	Arabidopsis thaliana	RNA polymerase II transcription mediator(GCT)
At2g01420	266300_at	Arabidopsis thaliana	Auxin efflux carrier family protein(PIN4)
At4g39620	252904_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB2453)
At2g45330	245131_s_at	Arabidopsis thaliana	RNA 2'-phosphotransferase, Tpt1 / KptA family(emb1067)
At3g54720	251856_at	Arabidopsis thaliana	Peptidase M28 family protein(AMP1)
At5g37630	249572_at	Arabidopsis thaliana	ARM repeat superfamily protein(EMB2656)
At4g26900	253921_at	Arabidopsis thaliana	HIS HF(AT-HF)
At1g50030	261659_at	Arabidopsis thaliana	target of rapamycin(TOR)
At2g15690	265474_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G15690)
At4g32410	253428_at	Arabidopsis thaliana	cellulose synthase 1(CESA1)
At3g25920	258076_at	Arabidopsis thaliana	ribosomal protein L15(RPL15)
At2g17510	263077_at	Arabidopsis thaliana	ribonuclease II family protein(EMB2763)
At5g63050	247414_at	Arabidopsis thaliana	embryo defective 2759(EMB2759)
At1g67440	264224_at	Arabidopsis thaliana	Minichromosome maintenance (MCM2/3/5) family protein(emb1688)
At1g49400	262415_at	Arabidopsis thaliana	Nucleic acid-binding, OB-fold-like protein(emb1129)
At4g31160	253560_at	Arabidopsis thaliana	DDB1-CUL4 associated factor 1(DCAF1)
At1g80070	262068_at	Arabidopsis thaliana	Pre-mRNA-processing-splicing factor(SUS2)
At3g17910	258164_at	Arabidopsis thaliana	Surfeit locus 1 cytochrome c oxidase biogenesis protein(SURF1)
At5g24670	246957_at	Arabidopsis thaliana	Cytidine/deoxycytidylate deaminase family protein(EMB2820)
At5g01075	251141_at	Arabidopsis thaliana	Glycosyl hydrolase family 35 protein(AT5G01075)
At1g63700	260291_at	Arabidopsis thaliana	Protein kinase superfamily protein(YDA)
At2g16440	263612_at	Arabidopsis thaliana	Minichromosome maintenance (MCM2/3/5) family protein(MCM4)
At1g59990	263679_at	Arabidopsis thaliana	DEA(D/H)-box RNA helicase family protein(EMB3108)
At2g17090	263577_at	Arabidopsis thaliana	kinase with tetratricopeptide repeat domain-containing protein(SSP)
At1g34430	261165_at	Arabidopsis thaliana	2-oxoacid dehydrogenases acyltransferase family protein(EMB3003)
At1g79810	261348_at	Arabidopsis thaliana	Pex2/Pex12 N-terminal domain-containing protein / zinc finger (C3HC4-type RING finger) family protein(TED3)
At1g20050	261228_at	Arabidopsis thaliana	C-8,7 sterol isomerase(HYD1)
At1g15220	262591_at	Arabidopsis thaliana	cytochrome c biogenesis protein family(CCMH)
At5g08080	250544_at	Arabidopsis thaliana	syntaxin of plants 132(SYP132)
At2g38770	266410_at	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(EMB2765)
At1g13980	262614_at	Arabidopsis thaliana	sec7 domain-containing protein(GN)
At1g79230	264095_at	Arabidopsis thaliana	mercaptopyruvate sulfurtransferase 1(MST1)
At1g09770	264709_at	Arabidopsis thaliana	cell division cycle 5(CDC5)
At4g31810	253492_at	Arabidopsis thaliana	ATP-dependent caseinolytic (Clp) protease/crotonase family protein(AT4G31810)
At1g21310	259553_x_at	Arabidopsis thaliana	extensin 3(EXT3)
At4g04350	255328_at	Arabidopsis thaliana	tRNA synthetase class I (I, L, M and V) family protein(EMB2369)
At1g64570	262006_at	Arabidopsis thaliana	Homeodomain-like superfamily protein(DUO3)
At2g28880	266219_at	Arabidopsis thaliana	para-aminobenzoate (PABA) synthase family protein(emb1997)
At4g39920	252868_at	Arabidopsis thaliana	C-CAP/cofactor C-like domain-containing protein(POR)
At5g46210	248882_at	Arabidopsis thaliana	cullin4(CUL4)
At3g20400	257664_at	Arabidopsis thaliana	F-box associated ubiquitination effector family protein(EMB2743)
At2g02150	266114_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB2794)
At5g63420	247385_at	Arabidopsis thaliana	RNA-metabolising metallo-beta-lactamase family protein(emb2746)
At5g63420	247386_at	Arabidopsis thaliana	RNA-metabolising metallo-beta-lactamase family protein(emb2746)
At5g24400	249733_at	Arabidopsis thaliana	NagB/RpiA/CoA transferase-like superfamily protein(EMB2024)
At3g06350	258908_at	Arabidopsis thaliana	dehydroquinate dehydratase, putative / shikimate dehydrogenase(MEE32)
At2g34650	266908_at	Arabidopsis thaliana	Protein kinase superfamily protein(PID)
At2g45690	267512_at	Arabidopsis thaliana	shrunken seed protein (SSE1)(SSE1)
At3g15660	258273_at	Arabidopsis thaliana	glutaredoxin 4(GRX4)
At5g22640	249900_at	Arabidopsis thaliana	MORN (Membrane Occupation and Recognition Nexus) repeat-containing protein(emb1211)
At2g21710	263899_at	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(EMB2219)
At5g19620	245914_at	Arabidopsis thaliana	outer envelope protein of 80 kDa(OEP80)
At3g26744	258310_at	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(ICE1)
At5g41480	249304_at	Arabidopsis thaliana	Folylpolyglutamate synthetase family protein(GLA1)
At1g19800	261132_at	Arabidopsis thaliana	trigalactosyldiacylglycerol 1(ABCI14)
At2g34780	267406_at	Arabidopsis thaliana	maternal effect embryo arrest 22(MEE22)
At1g67490	264228_at	Arabidopsis thaliana	glucosidase 1(GCS1)
At3g11470	267482_s_at	Arabidopsis thaliana	4'-phosphopantetheinyl transferase superfamily(AT3G11470)
At3g57870	251561_at	Arabidopsis thaliana	sumo conjugation enzyme 1(SCE1)
At4g39120	252934_at	Arabidopsis thaliana	inositol monophosphatase family protein(IMPL2)
At3g47520	252407_at	Arabidopsis thaliana	malate dehydrogenase(MDH)
At1g62340	260630_at	Arabidopsis thaliana	PA-domain containing subtilase family protein(ALE1)
At5g60540	247641_at	Arabidopsis thaliana	pyridoxine biosynthesis 2(PDX2)
At1g43170	264421_at	Arabidopsis thaliana	ribosomal protein 1(RP1)
At3g07430	259013_at	Arabidopsis thaliana	YGGT family protein(YLMG1-1)
At2g28620	263441_at	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G28620)
At4g03240	255420_at	Arabidopsis thaliana	frataxin-like protein(FH)
At4g30580	253624_at	Arabidopsis thaliana	Phospholipid/glycerol acyltransferase family protein(ATS2)
At5g60440	247631_at	Arabidopsis thaliana	AGAMOUS-like 62(AGL62)
At5g13510	245852_at	Arabidopsis thaliana	Ribosomal protein L10 family protein(EMB3136)
At3g29290	256613_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(emb2076)
At1g15110	262583_at	Arabidopsis thaliana	phosphatidyl serine synthase family protein(PSS1)
At3g01370	258949_at	Arabidopsis thaliana	CRM family member 2(CFM2)
At3g55620	251776_at	Arabidopsis thaliana	Translation initiation factor IF6(eIF6A)
At5g15540	246558_at	Arabidopsis thaliana	PHD finger family protein(EMB2773)
At1g55600	264538_at	Arabidopsis thaliana	WRKY DNA-binding protein 10(WRKY10)
At2g26890	266858_at	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(GRV2)
At1g75350	261119_at	Arabidopsis thaliana	Ribosomal protein L31(emb2184)
At5g43810	249115_at	Arabidopsis thaliana	Stabilizer of iron transporter SufD / Polynucleotidyl transferase(AGO10)
At1g60170	264221_s_at	Arabidopsis thaliana	pre-mRNA processing ribonucleoprotein binding region-containing protein(emb1220)
